hatlev5,hatfield,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,.0655141026,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103,.065514103
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,.0509554148,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415,.050955415
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,.1983621418,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214,.19836214
3,8,.0891719759,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976,.089171976
3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,.0218380354,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035,.021838035
3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
